RSS,PVALA_SST,COLOR
11.52716306,0.517777514,GRAY
11.25667302,0.631020539,GRAY
11.28458842,0.655268811,GRAY
11.30967091,0.703671721,GRAY
11.54407114,0.361344684,GRAY
11.62789179,0.517713915,GRAY
11.50289725,0.312160646,GRAY
11.55640289,0.700002928,GRAY
11.31690387,-0.036434303,GRAY
11.46003162,0.5175862,GRAY
11.62576886,0.390644403,GRAY
11.66093977,0.544702633,GRAY
11.57693605,-0.011390961,GRAY
11.49517801,0.421342856,GRAY
11.44343856,0.482627479,GRAY
11.48657782,0.498861698,GRAY
11.63292027,0.185693407,GRAY
11.47261178,0.326592961,GRAY
11.51419985,0.394759434,GRAY
11.43535212,0.502740497,GRAY
11.46194066,0.003285529,GRAY
11.53174868,0.244776904,GRAY
11.57852469,-0.103417284,GRAY
11.60661325,0.062594077,GRAY
11.56735893,0.230378027,GRAY
11.62105063,0.382807298,GRAY
11.25670685,0.288786884,GRAY
11.6768227,0.350378847,GRAY
11.47106843,0.137650404,GRAY
11.49759884,0.22646432,GRAY
11.59882434,0.324277853,GRAY
11.44969474,0.329214797,GRAY
11.53909295,0.439391962,GRAY
11.58736144,0.337263939,GRAY
11.57149959,0.313477906,GRAY
11.47872138,0.294167178,GRAY
11.59388236,0.382695015,GRAY
11.53584846,0.253455603,GRAY
11.5962337,0.296198242,GRAY
11.61311115,0.213551192,GRAY
11.46951756,-0.438170041,GRAY
11.54920105,-0.358770836,GRAY
11.50987221,-0.233285659,GRAY
11.62206591,0.053062774,GRAY
11.63810244,-0.325372449,GRAY
11.60721054,0.251763288,GRAY
11.53561797,0.141359916,GRAY
11.45496725,-0.049050833,GRAY
11.48914663,-0.301966941,GRAY
11.36221751,-0.650271533,GRAY
11.17372071,-0.402797814,GRAY
11.15385436,-0.423556879,GRAY
11.18322584,-0.584872117,GRAY
11.23019977,-0.363191788,GRAY
11.18711971,-0.792482872,GRAY
11.25196644,-0.624975426,GRAY
11.49304181,0.22068223,GRAY
11.38627383,0.404048718,GRAY
11.41679829,0.18898184,GRAY
11.55820807,0.381568788,GRAY
11.42220069,0.164285203,GRAY
11.48327892,0.05661579,GRAY
11.40124395,0.238701719,GRAY
11.51959997,0.127619985,GRAY
11.39220885,0.248122344,GRAY
11.19480339,-0.531231479,GRAY
11.40844246,-0.046774327,GRAY
11.46638097,0.231067446,GRAY
11.53717958,0.306214744,GRAY
11.37621971,-0.0112831,GRAY
11.3631745,0.048423187,GRAY
11.40579155,0.376456147,GRAY
11.43703683,0.153037461,GRAY
11.33643169,0.171646617,GRAY
11.64434156,0.308669118,GRAY
11.45197289,0.155762863,GRAY
11.56516634,0.148816676,GRAY
11.4303063,0.007300139,GRAY
11.47212331,0.133257928,GRAY
11.36995013,-0.548268493,GRAY
11.47257766,-0.131829185,GRAY
11.39307973,-0.491558226,GRAY
11.43914129,-0.359951298,GRAY
11.45581261,-0.182953613,GRAY
11.5481512,-0.135158941,GRAY
11.53242922,0.041464999,GRAY
11.44444968,0.212820154,GRAY
11.5215552,-0.102852136,GRAY
11.54022664,0.065711735,GRAY
11.42569558,-0.021876052,GRAY
11.25801696,0.19140645,GRAY
11.3312209,-0.409648727,GRAY
11.28872076,-0.055198447,GRAY
11.40829893,0.044703336,GRAY
11.38191876,0.081033201,GRAY
11.36492671,0.259114025,GRAY
11.40980907,0.186776227,GRAY
11.29592586,-0.046581474,GRAY
11.52809437,0.166677986,GRAY
11.48634849,0.152121065,GRAY
11.58179672,0.335280136,GRAY
11.56263838,0.276171391,GRAY
11.263142,0.566276874,GRAY
11.28406417,0.432751321,GRAY
11.55188127,0.381073545,GRAY
11.61295931,0.619030617,GRAY
11.58465155,0.399163012,GRAY
11.45567345,-0.506820499,GRAY
11.41734894,0.652935546,GRAY
11.53815007,0.448530723,GRAY
11.63939051,0.155804904,GRAY
11.51147507,0.450265397,GRAY
11.71734401,0.423887569,GRAY
11.55641466,0.143072765,GRAY
11.46409708,0.428286115,GRAY
11.52785842,0.444050773,GRAY
11.6682277,0.290069232,GRAY
11.52005379,0.512612785,GRAY
11.4819606,0.421438879,GRAY
11.45457444,0.489811344,GRAY
11.47275689,0.453520693,GRAY
11.49193456,0.164221303,GRAY
11.56301444,0.156914344,GRAY
11.6518536,0.243819911,GRAY
11.53563495,0.091450207,GRAY
11.23662538,0.347800631,GRAY
11.54363008,0.061107447,GRAY
11.62046733,0.373421967,GRAY
11.44701304,0.283240636,GRAY
11.49082915,0.224703247,GRAY
11.53289204,0.299756027,GRAY
11.61404208,0.34191968,GRAY
11.54062724,0.629233345,GRAY
11.51095833,0.256375014,GRAY
11.57242354,0.379820495,GRAY
11.55070455,0.372321103,GRAY
11.62283922,0.231822723,GRAY
11.70219581,-0.024999285,GRAY
11.56162324,0.349508029,GRAY
11.27202377,-0.705874669,GRAY
11.51481527,-0.075826746,GRAY
11.63069249,-0.443121749,GRAY
11.64617695,-0.014009395,GRAY
11.47625194,0.014085614,GRAY
11.61333489,0.250515186,GRAY
11.44641893,0.064059918,GRAY
11.51676997,-0.03328297,GRAY
11.48658096,0.004449195,GRAY
11.26717108,-0.527102438,GRAY
11.49671593,-0.281572497,GRAY
11.44155643,-0.426633758,GRAY
11.12494162,-0.290805069,GRAY
11.25065094,-0.277159458,GRAY
11.40281874,-0.542326528,GRAY
11.36574283,-0.156523149,GRAY
11.24429297,-0.714978559,GRAY
11.2350713,-0.39253703,GRAY
11.22610795,-0.654508748,GRAY
11.37839501,-0.014486197,GRAY
11.41198979,0.332222515,GRAY
11.4824402,0.316189631,GRAY
11.46314529,0.116690512,GRAY
11.61191747,0.150160211,GRAY
11.43794253,0.182423648,GRAY
11.14798076,-0.456255758,GRAY
11.52386084,-0.256341721,GRAY
11.43687621,-0.032141273,GRAY
11.54275773,0.256262125,GRAY
11.50299363,0.182819855,GRAY
11.36061031,-0.064737983,GRAY
11.3779914,0.016133795,GRAY
11.39972279,0.106379114,GRAY
11.42889266,0.218308307,GRAY
11.42553548,0.244047697,GRAY
11.34614264,0.108673131,GRAY
11.56039185,0.116399843,GRAY
11.39418134,0.081301668,GRAY
11.53927491,0.153895002,GRAY
11.37808278,-0.600341727,GRAY
11.5552988,-0.202557819,GRAY
11.48755939,0.03775845,GRAY
11.43635135,-0.46841824,GRAY
11.51003116,-0.166480278,GRAY
11.36141647,0.052109325,GRAY
11.39307793,0.49541993,GRAY
11.37652098,0.037962319,GRAY
11.37219757,-0.107905819,GRAY
11.47316941,-0.027836945,GRAY
11.45846946,0.093502087,GRAY
11.45089601,0.295271212,GRAY
11.52525958,0.141389877,GRAY
